City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,papatowai,-46.5619,169.4708,9.23,67,100,2.3,NZ,1712887278
83,deder,9.3167,41.45,15.37,64,45,1.2,ET,1712887295
84,kristiansund,63.1115,7.732,10.36,57,55,4.63,NO,1712887296
85,abadeh,31.1608,52.6506,8.34,54,0,1.62,IR,1712887099
86,rafraf,37.1904,10.1837,13.17,73,68,5.93,TN,1712887298
87,garachico,28.7781,-17.7646,23.06,19,75,3.6,ES,1712887299
88,portland,45.5234,-122.6762,14.71,61,100,1.79,US,1712886555
89,ambon,-3.6954,128.1814,29.08,74,40,1.54,ID,1712887117
90,abengourou,6.7297,-3.4964,23.29,92,100,1.1,CI,1712887302
91,yanam,16.7333,82.2167,29.87,57,15,2.23,IN,1712887303
92,pathein,16.7833,94.7333,32.9,43,1,2.01,MM,1712887304
93,nyurba,63.2842,118.3319,-15.04,84,88,2.45,RU,1712887306
94,metlili chaamba,32.2667,3.6333,12.52,58,0,3.09,DZ,1712887307
95,ushuaia,-54.8,-68.3,7.81,71,0,12.86,AR,1712887256
96,lebu,-37.6167,-73.65,10.16,94,1,1.9,CL,1712887309
97,sechura,-5.5569,-80.8222,24.7,68,70,6.27,PE,1712887311
98,andratx,39.5755,2.4202,12.01,75,0,2.76,ES,1712887312
99,ebon,4.582,168.6964,27.24,85,100,6.0,MH,1712887313
100,lake city,30.1897,-82.6393,19.88,79,0,6.17,US,1712887314
101,la passe,45.5549,-0.8967,11.1,93,9,3.15,FR,1712887315
102,garoowe,8.4054,48.4845,24.28,88,98,2.97,SO,1712887316
103,tanout,14.9709,8.8879,29.17,9,100,5.06,NE,1712887317
104,gazojak,41.1875,61.4036,17.78,35,100,2.0,TM,1712887074
105,pingliang,35.5392,106.6861,18.91,37,1,3.93,CN,1712887320
106,college,64.8569,-147.8028,6.15,53,100,1.79,US,1712887321
107,iqaluit,63.7506,-68.5145,-5.15,79,75,5.66,CA,1712887213
108,sur,22.5667,59.5289,29.62,50,96,1.43,OM,1712887146
109,taos,36.4072,-105.5731,16.22,20,0,6.17,US,1712887092
110,olaya herrera,1.2561,-77.4967,17.41,90,91,3.31,CO,1712887325
111,kapa'a,22.0752,-159.319,23.99,89,100,0.89,US,1712886658
112,kodiak,57.79,-152.4072,2.07,97,100,3.55,US,1712887328
113,duba,27.3513,35.6901,23.91,47,100,2.43,SA,1712887329
114,karratha,-20.7377,116.8463,29.64,53,0,4.1,AU,1712887330
115,jamestown,42.097,-79.2353,15.86,99,100,3.6,US,1712887211
116,la ronge,55.1001,-105.2842,4.12,70,20,2.57,CA,1712887333
117,ixtapa,20.7,-105.2,22.9,82,56,1.34,MX,1712887334
118,port lincoln,-34.7333,135.8667,16.09,57,34,3.74,AU,1712887070
119,kailua-kona,19.6406,-155.9956,28.11,86,100,0.45,US,1712887335
120,manta,-0.95,-80.7333,27.88,65,20,4.12,EC,1712887112
121,badger,64.8,-147.5333,6.1,50,100,1.34,US,1712887338
122,ambovombe,-25.1667,46.0833,19.79,88,100,3.76,MG,1712887339
123,qaqortoq,60.7167,-46.0333,-7.86,87,14,2.54,GL,1712887340
124,ust-nera,64.5667,143.2,-3.09,85,72,2.8,RU,1712887341
125,bowen,-20.0167,148.2333,26.25,66,7,6.87,AU,1712887342
126,invercargill,-46.4,168.35,10.01,79,100,3.13,NZ,1712887343
127,chonchi,-42.6128,-73.8092,7.84,73,0,0.74,CL,1712887298
128,dehloran,32.6941,47.2679,19.59,47,2,2.49,IR,1712887346
129,dudinka,69.4058,86.1778,-24.07,97,48,4.92,RU,1712887348
130,avarua,-21.2078,-159.775,29.03,84,75,7.72,CK,1712887270
131,ust'-barguzin,53.45,108.9833,1.65,91,100,3.07,RU,1712887350
132,waitara,-38.925,174.25,18.61,93,100,4.67,NZ,1712887351
133,kidal,18.4411,1.4078,27.96,10,84,4.64,ML,1712887351
134,altai,46.3722,96.2583,3.72,48,37,9.51,MN,1712887352
135,atafu village,-8.5421,-172.5159,29.85,73,95,3.83,TK,1712887353
136,dasha,23.11,113.4444,25.99,66,30,2.32,CN,1712887354
137,matias barbosa,-21.8692,-43.3194,19.05,100,57,1.54,BR,1712887355
138,twon-brass,4.3151,6.2418,28.42,80,99,5.92,NG,1712887356
139,touros,-5.1989,-35.4608,26.01,89,100,2.86,BR,1712887214
140,dahab,28.501,34.5134,22.15,48,100,5.88,EG,1712887358
141,khairpur,27.5295,68.7617,25.0,18,92,4.21,PK,1712887359
142,mejit,10.2753,170.8646,26.68,79,100,9.08,MH,1712887360
143,port mathurin,-19.6833,63.4167,26.82,75,39,4.89,MU,1712887265
144,casablanca,33.5928,-7.6192,21.12,53,11,4.6,MA,1712886640
145,san patricio,28.017,-97.5169,23.27,41,6,3.88,US,1712887092
146,palo alto,37.4419,-122.143,23.71,59,0,7.2,US,1712887339
147,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,3.09,US,1712887095
148,callao,-12.0667,-77.15,25.4,78,0,4.63,PE,1712887092
149,charlottetown,46.2352,-63.1267,6.16,65,20,8.23,CA,1712886992
150,sao vicente,-23.9631,-46.3919,25.71,59,100,0.45,BR,1712887315
151,ponta delgada,37.7333,-25.6667,18.44,88,40,1.54,PT,1712887208
152,mahina,-17.5065,-149.489,29.87,70,75,3.6,PF,1712887370
153,playa del carmen,20.6274,-87.0799,24.94,89,99,2.96,MX,1712887088
154,douentza,14.9951,-2.9517,29.68,20,68,0.61,ML,1712887372
155,margaret river,-33.95,115.0667,20.38,51,9,4.98,AU,1712887373
156,usinsk,65.9939,57.5281,1.71,99,100,10.28,RU,1712886908
157,at-bashi,41.1702,75.8106,8.41,32,100,0.63,KG,1712887375
158,sosnovo-ozerskoye,52.5249,111.5418,5.72,46,100,1.2,RU,1712887375
159,antsiranana,-12.2787,49.2917,24.59,92,24,1.99,MG,1712887194
160,mugia,43.1041,-9.2179,13.28,72,24,1.77,ES,1712887377
161,yonan-up,37.9089,126.1611,14.24,65,0,3.21,KP,1712887378
162,lazaro cardenas,17.9583,-102.2,23.88,82,10,1.53,MX,1712886690
163,qala i naw,34.9874,63.1289,15.14,84,100,4.01,AF,1712887381
164,vorgashor,67.5833,63.95,-6.22,95,100,7.32,RU,1712887403
165,beauceville,46.2179,-70.7787,6.95,100,100,3.09,CA,1712887404
166,susuman,62.7833,148.1667,-8.34,81,53,1.79,RU,1712887406
167,prince rupert,54.3161,-130.3201,8.05,63,0,4.63,CA,1712887407
168,uthal,25.8072,66.6219,25.0,61,1,1.97,PK,1712887408
169,pacific grove,36.6177,-121.9166,18.18,74,0,2.57,US,1712887408
170,novyy urgal,51.0736,132.5642,6.83,55,100,0.97,RU,1712887409
171,thompson,55.7435,-97.8558,1.09,75,100,3.09,CA,1712887410
172,bethel,41.3712,-73.414,16.05,89,100,4.12,US,1712887412
173,koraput,18.8167,82.7167,23.9,54,100,1.75,IN,1712887413
174,morehead city,34.7229,-76.726,22.01,84,100,10.29,US,1712887219
175,new plymouth,-39.0667,174.0833,18.23,95,56,3.92,NZ,1712887415
176,alenquer,-1.9417,-54.7383,25.09,92,56,1.12,BR,1712887417
177,saint-philippe,-21.3585,55.7679,25.77,85,70,1.39,RE,1712887418
178,dongola,19.1667,30.4833,21.45,20,9,4.92,SD,1712887419
179,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712887420
180,tura,25.5198,90.2201,31.2,27,1,0.54,IN,1712887421
181,minas de marcona,-15.2119,-75.1103,17.23,79,100,3.51,PE,1712887147
182,lihue,21.9789,-159.3672,23.58,87,100,0.0,US,1712887423
183,sena madureira,-9.0656,-68.6569,23.09,99,81,0.97,BR,1712887424
184,marshfield,44.6689,-90.1718,8.97,100,100,0.0,US,1712887382
185,flekkefjord,58.2971,6.6607,7.75,95,92,1.24,NO,1712887426
186,nagqu,31.5,92.0,0.49,32,100,5.12,CN,1712886569
187,arkhara,49.4212,130.0842,16.54,53,100,6.71,RU,1712887428
188,murghob,38.1702,73.9667,-9.16,61,88,3.08,TJ,1712887429
189,remire-montjoly,4.9167,-52.2667,26.02,94,75,5.66,GF,1712887430
190,khash,28.2211,61.2158,18.99,57,0,6.55,IR,1712887431
191,deir ez-zor,35.3359,40.1408,17.63,70,85,3.69,SY,1712887434
192,saint-pierre,-21.3393,55.4781,25.82,69,0,3.09,RE,1712887435
193,lucas,41.6501,-83.6666,11.1,92,100,6.69,US,1712887436
194,vadso,70.0744,29.7487,0.49,80,100,6.17,NO,1712887437
195,morant bay,17.8815,-76.4093,28.79,89,93,3.58,JM,1712887439
196,aripuana,-9.1667,-60.6333,23.96,98,100,0.72,BR,1712887440
197,ola,59.5833,151.2833,-0.48,89,36,1.05,RU,1712887441
198,kocaali,41.0534,30.8528,11.32,89,12,0.78,TR,1712887443
199,onega,63.9061,38.1404,1.23,90,100,5.03,RU,1712887444
200,tralee,52.2704,-9.7026,11.24,98,100,2.6,IE,1712887446
201,trinidad,-14.8333,-64.9,23.65,98,92,2.21,BO,1712887447
202,odder,55.9731,10.153,8.76,93,100,5.06,DK,1712887448
